id,pair,timeframe,verdict,score,entry_price,entry_ts,tp_price,sl_price,pnl_pips,horizon_seconds,exit_price,resolved_at,outcome
35,BCHUSD,1m,SELL,22,216.58,2026-08-09 14:48:39.910281,216.40042963536,216.699713576427,-1197.13576426989,,,2026-08-09 14:59:38.290418,up
36,BTCUSD,1m,SELL,16,65188.7,2026-08-09 15:01:51.887528,65150.2021033589,65214.3652644274,,,,,pending
37,XMRUSD,1m,SELL,13,412.35,2026-08-09 15:05:41.876604,410.032474430709,413.895017046194,23175.2556929104,,,2026-08-09 15:14:38.355679,down
38,AVAXUSD,1m,SELL,17,6.4875,2026-08-09 15:06:43.875226,6.48165032486226,6.49139978342516,-38.9978342515995,,,2026-08-09 15:14:38.425462,up
39,BCHUSD,1m,SELL,21,216.89,2026-08-09 15:07:39.919489,216.629914337106,217.06339044193,-1733.90441930025,,,2026-08-09 15:14:38.471061,up
40,XMRUSD,1m,SELL,19,406.9,2026-08-09 15:24:41.997445,404.532381890776,408.478412072816,23676.18109224,,,2026-08-09 15:44:38.350505,down
41,TAOUSD,1m,SELL,22,209.68,2026-08-09 15:25:39.882779,209.24782116579,209.968119222807,4321.78834210021,,,2026-08-09 15:39:38.233945,down
42,BTCUSD,1m,SELL,14,65171.99,2026-08-09 15:30:43.874266,65143.4781599068,65190.9978933954,,,,,pending
43,AVAXUSD,1m,SELL,21,6.4925,2026-08-09 15:34:51.884743,6.48822125175208,6.49535249883195,-28.5249883195071,,,2026-08-09 15:39:38.309984,up
44,LINKUSD,1m,SELL,18,8.28,2026-08-09 15:39:49.881146,8.2726830978177,8.2848779347882,-48.7793478820109,,,2026-08-09 15:44:38.416688,up
45,SOLUSD,1m,SELL,13,77.152,2026-08-09 15:45:43.881162,77.0757576380198,77.2028282413201,762.423619802064,,,2026-08-09 15:54:38.265060,down
46,AVAXUSD,1m,SELL,16,6.5055,2026-08-09 15:53:51.906099,6.49922426097562,6.50968382601625,-41.8382601625034,,,2026-08-09 15:54:38.315708,up
47,XMRUSD,1m,SELL,18,398.98,2026-08-09 16:59:38.485136,,,,300,398.77,2026-08-09 17:05:35.049518,down
48,SOLUSD,1m,SELL,18,77.182,2026-08-09 17:06:36.496693,,,,300,77.264,2026-08-09 17:12:35.054828,up
49,BNBUSD,1m,SELL,19,607.51,2026-08-09 17:20:42.473621,,,,300,609.62,2026-08-09 17:26:34.940330,up
50,UNIUSD,1m,SELL,18,4.0255,2026-08-09 18:04:38.494865,,,,300,4.0585,2026-08-09 18:10:02.945606,up
51,BNBUSD,1m,BUY,17,602.78,2026-08-10 07:40:29.000542,,,,300,604.215,2026-08-10 07:46:13.205235,up
52,ETCUSD,1m,BUY,18,6.505,2026-08-10 07:41:20.998069,,,,300,6.502,2026-08-10 07:47:13.162996,down
53,ZECUSD,1m,BUY,19,508.7,2026-08-10 07:43:19.047962,,,,300,508.45,2026-08-10 07:49:13.167705,down
54,INJUSD,1m,BUY,14,4.434,2026-08-10 07:43:26.989007,,,,300,4.449,2026-08-10 07:49:13.219821,up
55,SOLUSD,1m,BUY,19,76.922,2026-08-10 07:45:22.998628,,,,300,76.892,2026-08-10 07:50:55.426734,down
56,INJUSD,1m,BUY,17,4.437,2026-08-10 07:54:08.434091,,,,300,4.454,2026-08-10 07:59:55.086911,up
57,INJUSD,1m,BUY,19,4.434,2026-08-10 08:04:00.401378,,,,300,4.457,2026-08-10 08:09:55.101728,up
58,LINKUSD,1m,BUY,21,8.175,2026-08-10 08:04:58.407816,,,,300,8.2125,2026-08-10 08:10:55.096408,up
59,SOLUSD,1m,BUY,19,76.972,2026-08-10 08:05:56.439049,,,,300,76.974,2026-08-10 08:11:55.254073,flat
60,BNBUSD,1m,BUY,16,603.07,2026-08-10 08:05:58.408006,,,,300,602.97,2026-08-10 08:11:55.322535,flat
61,NEARUSD,1m,BUY,20,1.657,2026-08-10 08:07:10.429918,,,,300,1.6595,2026-08-10 08:12:55.093958,up
62,ZECUSD,1m,BUY,18,508.23,2026-08-10 08:12:56.430934,,,,300,511.34,2026-08-10 08:18:55.159815,up
63,BNBUSD,1m,BUY,16,602.91,2026-08-10 08:15:06.411182,,,,300,602.54,2026-08-10 08:20:55.095468,down
64,ETCUSD,1m,BUY,18,6.505,2026-08-10 08:20:10.409851,,,,300,6.504,2026-08-10 08:25:55.104905,flat
65,ZECUSD,1m,BUY,18,509.89,2026-08-10 08:22:02.407152,,,,300,511.66,2026-08-10 08:27:55.122368,up
66,BNBUSD,1m,BUY,19,603.01,2026-08-10 08:24:58.424602,,,,300,604.245,2026-08-10 08:30:55.096680,up
67,UNIUSD,1m,BUY,17,4.0375,2026-08-10 08:25:58.407044,,,,300,4.0245,2026-08-10 08:31:55.098342,down
68,INJUSD,1m,BUY,15,4.438,2026-08-10 08:27:56.412983,,,,300,4.436,2026-08-10 08:33:55.137237,down
69,BNBUSD,1m,BUY,19,603.33,2026-08-10 08:34:06.417042,,,,300,604.24,2026-08-10 08:39:55.099385,up
70,ETHUSD,1m,BUY,21,1924.37,2026-08-10 08:38:06.404641,,,,300,1923.5,2026-08-10 08:43:55.119993,down
71,XMRUSD,1m,BUY,17,394.71,2026-08-10 09:05:00.421223,,,,300,394.0,2026-08-10 09:10:55.103416,down
72,ZECUSD,1m,BUY,19,509.4,2026-08-10 09:09:56.419757,,,,300,509.955,2026-08-10 09:15:55.129123,up
73,BNBUSD,1m,BUY,20,602.65,2026-08-10 09:17:02.410531,,,,300,604.74,2026-08-10 09:24:13.126627,up
74,TAOUSD,1m,BUY,22,202.91,2026-08-10 09:28:18.364509,,,,300,202.57,2026-08-10 09:34:12.988617,down
75,BNBUSD,1m,BUY,19,602.72,2026-08-10 09:43:28.371761,,,,300,604.54,2026-08-10 09:49:12.988305,up
76,INJUSD,1m,BUY,16,4.449,2026-08-10 09:51:22.387844,,,,300,4.445,2026-08-10 09:57:12.989863,down
77,LINKUSD,1m,BUY,18,8.176,2026-08-10 09:52:20.366848,,,,300,8.2375,2026-08-10 09:58:12.989265,up
78,XMRUSD,1m,BUY,17,396.71,2026-08-10 10:10:16.371117,,,,300,397.08,2026-08-10 10:16:12.991987,up
