ts,Open,High,Low,Close,Volume,ATR,ADX,RSI,EMA50,EMA200
2025-02-20 14:45:00+00:00,1.04561,1.04567,1.0445,1.04468,1587,0.0007395215692372733,20.733825304623817,54.56988595334503,1.043792598580521,1.0441422443641162
2025-02-20 15:00:00+00:00,1.04466,1.0458,1.0442,1.04554,1852,0.000800984314291757,20.42342080026595,61.134369917929696,1.0438611241263829,1.0441561523803937
2025-02-20 15:15:00+00:00,1.04553,1.04665,1.04521,1.04664,1402,0.0008466282918423535,21.119280125039207,67.58598577158371,1.0439700996508385,1.0441808672820814
2025-02-20 15:30:00+00:00,1.04663,1.04694,1.04622,1.04678,1466,0.000837583413853618,22.05019195070259,68.3070687275498,1.0440802918213938,1.044206729299175
2025-02-20 15:45:00+00:00,1.04685,1.04752,1.0465,1.0474,1605,0.0008506131700069324,23.4295994514178,71.34704482911124,1.044210476455849,1.044238503136994
2025-02-20 16:00:00+00:00,1.04737,1.04743,1.04684,1.04697,1309,0.0008319979435778723,24.710477844939067,66.57729751117607,1.0443186930654236,1.0442656822102578
2025-02-20 16:15:00+00:00,1.04698,1.04704,1.04643,1.04668,1059,0.0008161409476080242,25.068138423322132,63.49433267137895,1.0444112933373677,1.0442897052728424
2025-02-20 16:30:00+00:00,1.0467,1.0477,1.0467,1.04768,1160,0.0008307023084931668,26.02754333492175,68.85077402416128,1.044539477912373,1.0443234395487344
2025-02-20 16:45:00+00:00,1.04769,1.04785,1.04742,1.0475,976,0.0008020807150293642,27.048780723640068,66.94662071948936,1.04465557681777,1.0443550471154137
2025-02-20 17:00:00+00:00,1.04749,1.04842,1.04712,1.04838,1107,0.0008376463782415423,28.45866365940455,71.14776329635355,1.0448016326288379,1.0443950963978474
2025-02-20 17:15:00+00:00,1.04843,1.04887,1.04829,1.04864,1063,0.0008192430655100054,30.088285135603055,72.26923609982434,1.0449521568394717,1.0444373342446351
2025-02-20 17:30:00+00:00,1.04865,1.04947,1.04862,1.04942,893,0.0008214399894021332,31.977341256257912,75.36310033776897,1.0451273663751788,1.04448691300837
2025-02-20 17:45:00+00:00,1.04941,1.04942,1.0487,1.04893,876,0.0008141942758734133,33.73146479686599,70.07399226816702,1.0452764892624267,1.0445311228291823
2025-02-20 18:00:00+00:00,1.04886,1.04955,1.04853,1.04949,922,0.0008288946847395995,34.977144849456735,72.45339722111038,1.0454417249776256,1.0445804648905834
2025-02-20 18:15:00+00:00,1.04954,1.04962,1.04902,1.04909,735,0.0008125450644010519,36.18605346698781,68.27746343815852,1.0455847945863461,1.044625335886697
2025-02-20 18:30:00+00:00,1.04908,1.0498,1.04908,1.04973,654,0.0008059347026581235,37.44534937013111,71.14326855410837,1.0457473516613913,1.0446761285644413
2025-02-20 18:45:00+00:00,1.04972,1.04986,1.04951,1.04979,666,0.0007733679381825485,38.661163438550844,71.40408722085196,1.0459058868903564,1.0447270128573325
2025-02-20 19:00:00+00:00,1.04981,1.04981,1.04919,1.04966,819,0.0007624130854552124,38.9642972166114,69.92930620808725,1.0460531070123031,1.0447760973065132
2025-02-20 19:15:00+00:00,1.04961,1.04961,1.04893,1.04931,550,0.000760097865065563,38.61835041806894,65.9782377653906,1.0461808283059384,1.0448212107661499
2025-02-20 19:30:00+00:00,1.04932,1.04987,1.04924,1.04984,648,0.000750805160418032,38.589267534695104,68.84853164148313,1.0463243252351173,1.0448711489674818
2025-02-20 19:45:00+00:00,1.04983,1.05034,1.04977,1.05016,825,0.0007378905061024555,39.03817753607307,70.46852590663431,1.046474743853348,1.04492377435089
2025-02-20 20:00:00+00:00,1.05015,1.05015,1.04962,1.04968,524,0.000723755469952279,39.085207995497626,65.00749855015293,1.0466004401728244,1.0449710999792392
2025-02-20 20:15:00+00:00,1.04969,1.04987,1.04954,1.0498,368,0.0006956300792414136,38.9281831515684,65.72267108745694,1.0467259131072235,1.0450191487356646
2025-02-20 20:30:00+00:00,1.04984,1.04991,1.0497,1.04988,438,0.0006609422164384428,38.830674588134336,66.2183608873643,1.0468496027892933,1.0450675154149116
2025-02-20 20:45:00+00:00,1.0499,1.05033,1.04988,1.05029,632,0.0006458749152642726,39.222056877440515,68.71532984888738,1.046984520326968,1.0451194804356587
2025-02-20 21:00:00+00:00,1.05028,1.05035,1.05008,1.0501,290,0.0006190267070311097,39.60740533582871,66.27072550825251,1.0471066960004203,1.045169037844259
